急性上呼吸道感染	咽痛
急性上呼吸道感染	烧灼感
急性上呼吸道感染	咽痒
急性上呼吸道感染	清水样鼻涕
急性上呼吸道感染	鼻涕
急性上呼吸道感染	咳嗽
急性上呼吸道感染	水肿
急性上呼吸道感染	脓性分泌物
急性上呼吸道感染	溃疡
急性上呼吸道感染	黏膜充血
急性上呼吸道感染	黄色
急性上呼吸道感染	儿童
急性上呼吸道感染	红晕
急性上呼吸道感染	肿大
流行性感冒	腹胀
流行性感冒	头痛
流行性感冒	循环衰竭
流行性感冒	中毒症状
流行性感冒	呕吐
流行性感冒	腹痛
流行性感冒	血管内凝血
流行性感冒	乏力
流行性感冒	腹泻等消化道症状
流行性感冒	儿童
流行性感冒	全身酸痛
流行性感冒	上
慢性支气管炎	咳嗽
慢性支气管炎	咳痰
慢性支气管炎	慢性
慢性阻塞性肺疾病	慢性
慢性阻塞性肺疾病	咳痰
慢性阻塞性肺疾病	痰量
慢性阻塞性肺疾病	夜间阵咳
慢性阻塞性肺疾病	黏液
慢性阻塞性肺疾病	咳嗽
慢性阻塞性肺疾病	活动时
慢性阻塞性肺疾病	胸闷
慢性阻塞性肺疾病	活动
慢性阻塞性肺疾病	呼吸困难
慢性阻塞性肺疾病	逐渐加重
慢性阻塞性肺疾病	肺纹理增粗
急性心肌梗死	病理性Q波
急性呼吸窘迫综合征	呼吸困难
急性呼吸窘迫综合征	积液
急性呼吸窘迫综合征	结节
急性呼吸窘迫综合征	浸润
急性呼吸窘迫综合征	低氧血症
急性心力衰竭	端坐呼吸
急性心力衰竭	突发
急性心力衰竭	粉红色泡沫痰
急性心力衰竭	咳嗽
急性心力衰竭	呼吸困难
急性心力衰竭	湿性啰音
急性心力衰竭	舒张期奔马律
急性心力衰竭	颈静脉充盈
急性心力衰竭	皮肤湿冷
急性心力衰竭	大汗
急性心力衰竭	发绀
急性心力衰竭	意识障碍
急性心力衰竭	呼吸困难
低血糖症	饥饿感
低血糖症	心悸
低血糖症	抽搐
低血糖症	多汗
低血糖症	昏迷
流行性脑脊髓膜炎	瘀点
流行性脑脊髓膜炎	呕吐
流行性脑脊髓膜炎	瘀斑
流行性脑脊髓膜炎	突发
流行性脑脊髓膜炎	剧烈头痛
